file,total_tokens,hit_tokens,static_prefix_tokens,cache_hit_ratio,static_prefix_ratio,group,error
../../conversations_split_split/conversation_000_001.jsonl,13195,0,13195,0.0,1.0,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_002.jsonl,16255,13194,13195,0.8117,0.8118,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_003.jsonl,20266,16254,13195,0.802,0.6511,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_004.jsonl,21754,20265,13195,0.9316,0.6066,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_005.jsonl,22433,21753,13195,0.9697,0.5882,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_006.jsonl,25375,22432,13195,0.884,0.52,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_007.jsonl,28081,25374,13195,0.9036,0.4699,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_008.jsonl,29948,28080,13195,0.9376,0.4406,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_009.jsonl,33371,29947,13195,0.8974,0.3954,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_010.jsonl,34898,33370,13195,0.9562,0.3781,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_011.jsonl,39401,34897,13195,0.8857,0.3349,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_000_012.jsonl,40074,39401,13195,0.9832,0.3293,58658adc7d3873fdcf5ccdb6ad132255,
../../conversations_split_split/conversation_005_001.jsonl,12705,0,12705,0.0,1.0,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_002.jsonl,21080,12704,12705,0.6027,0.6027,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_003.jsonl,26363,21079,12705,0.7996,0.4819,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_004.jsonl,29851,26362,12705,0.8831,0.4256,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_005.jsonl,30253,29850,12705,0.9867,0.42,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_006.jsonl,32525,30252,12705,0.9301,0.3906,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_007.jsonl,36195,32524,12705,0.8986,0.351,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_008.jsonl,37480,36194,12705,0.9657,0.339,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_009.jsonl,38394,37479,12705,0.9762,0.3309,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_010.jsonl,39636,38393,12705,0.9686,0.3205,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_011.jsonl,42541,39635,12705,0.9317,0.2987,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_005_012.jsonl,42852,42541,12705,0.9927,0.2965,70684c9da7e2663f3690cffc37474e7b,
../../conversations_split_split/conversation_002_001.jsonl,12891,0,12891,0.0,1.0,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_002.jsonl,14173,12890,12891,0.9095,0.9095,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_003.jsonl,18399,14172,12891,0.7703,0.7006,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_004.jsonl,22557,18398,12891,0.8156,0.5715,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_005.jsonl,32813,22556,12891,0.6874,0.3929,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_006.jsonl,33543,32812,12891,0.9782,0.3843,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_007.jsonl,35417,33542,12891,0.9471,0.364,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_008.jsonl,36280,35416,12891,0.9762,0.3553,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_009.jsonl,38794,36279,12891,0.9352,0.3323,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_010.jsonl,39917,38793,12891,0.9718,0.3229,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_011.jsonl,40671,39916,12891,0.9814,0.317,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_012.jsonl,41049,40670,12891,0.9908,0.314,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_013.jsonl,41394,41048,12891,0.9916,0.3114,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_014.jsonl,41999,41393,12891,0.9856,0.3069,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_015.jsonl,44789,41998,12891,0.9377,0.2878,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_016.jsonl,45219,44788,12891,0.9905,0.2851,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_017.jsonl,49173,45218,12891,0.9196,0.2622,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_018.jsonl,50037,49172,12891,0.9827,0.2576,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_019.jsonl,50334,50036,12891,0.9941,0.2561,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_020.jsonl,51717,50333,12891,0.9732,0.2493,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_002_021.jsonl,52537,51717,12891,0.9844,0.2454,63997a2c7560758f17086777d785403f,
../../conversations_split_split/conversation_004_001.jsonl,12725,0,12725,0.0,1.0,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_002.jsonl,17349,12724,12725,0.7334,0.7335,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_003.jsonl,23542,17348,12725,0.7369,0.5405,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_004.jsonl,27758,23541,12725,0.8481,0.4584,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_005.jsonl,29667,27757,12725,0.9356,0.4289,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_006.jsonl,30619,29666,12725,0.9689,0.4156,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_007.jsonl,32840,30618,12725,0.9323,0.3875,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_008.jsonl,35840,32839,12725,0.9163,0.3551,0599263eba7c39ff29d42dc85517e6e6,
../../conversations_split_split/conversation_004_009.jsonl,43428,35839,12725,0.8253,0.293,0599263eba7c39ff29d42dc85517e6e6,
